InvoiceNo,CustomerID,InvoiceDate,ProductID,ProductName,Category,UnitPrice,Quantity,Amount
INV200455,C1197,2024-01-01 01:47:44,P054,Cranberry Sauce,Seasonal,3.22,1,3.22
INV200455,C1197,2024-01-01 01:47:44,P005,Coffee,Beverages,8.58,2,17.16
INV200174,C1182,2024-01-01 05:27:55,P051,Hot Dogs,Seasonal,2.47,1,2.47
INV200917,C1089,2024-01-01 10:00:51,P012,Parmesan,Dairy,3.76,2,7.52
INV200917,C1089,2024-01-01 10:00:51,P010,Pasta,Pantry,1.66,2,3.32
INV200917,C1089,2024-01-01 10:00:51,P005,Coffee,Beverages,8.97,2,17.94
INV200368,C1223,2024-01-01 11:35:43,P031,Apples (Bag),Produce,4.51,1,4.51
INV200368,C1223,2024-01-01 11:35:43,P007,Creamer,Dairy,2.01,2,4.02
INV200965,C1087,2024-01-01 13:55:51,P006,Sugar,Pantry,1.13,2,2.26
INV200965,C1087,2024-01-01 13:55:51,P005,Coffee,Beverages,10.24,2,20.48
INV200195,C1160,2024-01-01 21:26:15,P010,Pasta,Pantry,1.45,2,2.9
INV200195,C1160,2024-01-01 21:26:15,P013,Garlic Bread,Bakery,2.13,2,4.26
INV200195,C1160,2024-01-01 21:26:15,P012,Parmesan,Dairy,4.02,3,12.06
INV200067,C1234,2024-01-02 08:25:39,P004,Eggs (Dozen),Dairy,3.65,3,10.95
INV200067,C1234,2024-01-02 08:25:39,P030,Bananas (Bunch),Produce,0.85,2,1.7
INV201064,C1091,2024-01-02 17:11:46,P054,Cranberry Sauce,Seasonal,2.21,3,6.63
INV201064,C1091,2024-01-02 17:11:46,P004,Eggs (Dozen),Dairy,2.78,3,8.34
INV201064,C1091,2024-01-02 17:11:46,P007,Creamer,Dairy,2.99,3,8.97
INV201006,C1207,2024-01-03 01:43:02,P006,Sugar,Pantry,1.44,2,2.88
INV201006,C1207,2024-01-03 01:43:02,P004,Eggs (Dozen),Dairy,3.36,4,13.44
INV200355,C1229,2024-01-03 04:31:13,P002,Butter,Dairy,2.89,4,11.56
INV200355,C1229,2024-01-03 04:31:13,P001,Bread,Bakery,3.44,3,10.32
INV200909,C1012,2024-01-03 15:01:24,P011,Tomato Sauce,Pantry,3.61,5,18.05
INV200909,C1012,2024-01-03 15:01:24,P010,Pasta,Pantry,2.66,3,7.98
INV200909,C1012,2024-01-03 15:01:24,P030,Bananas (Bunch),Produce,1.15,2,2.3
INV201076,C1191,2024-01-03 21:03:15,P013,Garlic Bread,Bakery,3.63,1,3.63
INV200953,C1119,2024-01-04 04:58:52,P053,Turkey (lb),Seasonal,2.68,1,2.68
INV200953,C1119,2024-01-04 04:58:52,P007,Creamer,Dairy,2.04,1,2.04
INV200953,C1119,2024-01-04 04:58:52,P050,BBQ Sauce,Seasonal,2.73,1,2.73
INV200610,C1021,2024-01-04 10:20:12,P040,Paper Towels,Household,5.59,1,5.59
INV200610,C1021,2024-01-04 10:20:12,P001,Bread,Bakery,3.42,1,3.42
INV200088,C1039,2024-01-05 15:52:12,P050,BBQ Sauce,Seasonal,4.03,1,4.03
INV200088,C1039,2024-01-05 15:52:12,P031,Apples (Bag),Produce,4.7,1,4.7
